How big is your family.;Our family is quite large. I have got a younger sister and an elder half-brother. My sister is a student than me and we get on very well.  My half-brother lives a happy family life with his wife and children. I have also got an elder half-sister but I don't know her.;Family
Who do you live with?;I am single and I live with my parents and my younger sister. My father is breadwinner, he works as an ambulance. My mother is at home, she deals with agriculture. This is our family business.;Family
What is your relationship with them like?;I get on very well with my parents and my sister. We sometimes argue about unimportant things but it's natural bacause in every relationship has got small problems. My sister and I share our problems and help each other.;Family
Are you in close contact with those members of your immediate family who don't live with you?;My half-brother lives with his family and he is a very busy person and we don't often see him. Occasionally, we have lunch with them at the weekend.;Family
How important to you is your extended family?;I have very strong family ties. My home and my immediate family is significant to me, and my extended family is as important. I like to see them as often as I can.;Family
Who do you take after?;As for my appearance, I think I take after my mother. When my mother was young, she had long brown hair and she was slightly-built, like me now.;Family
What do you look like?;I am in my late teens. I'm quite tall and I'm slightly-built, but I have rather wide shoulders. I think I am just the right weight. I have wavy long brown hair. My eyes are blue and I wear glasses. If necessary, I apply make-up to cover up my acnes and accentuate my eyes and my mouth.;Family
Do you think looks matter a lot?;Yes, quite a lot. I don't think anyone really wants to look unkempt and unattractive. I admire those who have good taste in clothes but if someone doesn't. This is not problem. After all I believe that one shouldn't judge a book by its cover. ;Family
What clothes do you like wearing?;The dressing is important to me, but I don't dress according to the fashion. I wear what I like and fits good. I like to look pretty. I usually wear comfortable clothes at home, but when I go out, I wear my current favorite piece of cloth.;Family
What does your mother/father/ any member of your family look like?;My mother is medium-hight. Her hair is wavy grey but she dyes her brown. Her eyes are also brown. My dad is just as tall as my mom. My dad also has gray hair, but he doesn't dye it. He has a beard and mustache.;Family
What kind of person are you?;I am quite sensitive to what is happening around me. I'm often moody. At the same time I am really understanding, co-operative and generous. ;Family
Have you got your father's or mother's personality?;I think I have got my father's personality rather than my mother's personality.;Family
In what respect are you like either of them?;My father is understanding and patient with people. He is a real handyman. He knows a lot of things and he can cope with any job around the house. He is very helpful and practical, but sometimes he loses her temper, just like me.;Family
What is your picture of an ideal husband/wife, mother/father like?;An ideal spouse should be kind and understanding and supportive of his or her partner. Husbands and wives should share household responsibilities so that neither one has to take on more of the burden of running household. In the past, the traditional ideal was that the husband would be the main breadwinner and the wife would stay home, manage the house and raise children. However, nowadays both partners usually need to work. An ideal parent should be responsible and set a good example for his or her children. A parent will have to be patient as children sometimes misbehave or make mistakes as they are growing up. But a good parent is also firm so that children learn good manners and good behavior. Parents should be loving and kind, and both mothers and fathers should play an equal role in their children's upbringing.;Family
How can you prove your identity?;You can prove your identity by showing your identity card, residence card, or perhaps your student card if you have one. When you are outside the Europe Union, you can use your passport for this purpose.;Family
What data can be seen on your identity card?;First of all you can see the holders surname, given name and sex (that is whether the holder is male or female). Then comes the data of expiry. On the other side you can find the holders maiden name and nationality. After this is the mother's name followed by the place, the year, month and day of the holder's birth.;Family
Why do you need to have an ID?;It is best to carry your ID on your wherever you go. You may quite often find yourself in a situation when you have to prove your identity. For example, in court, in exams or when you are stopped by the police.;Family
What happens if you lose your ID?;If you lose your ID, you have to go to the passport office where you are given a form to fill in. You may be asked about your personal particular such as place and date of birth, temporary and permanent address, marital status, family name, first name, maiden name, occupation and place of work. You might also need to take your birth certificate with you. You don't have to worry about your photo as you can have it taken on the spot.;Family
What would you include in your curriculum vitae in order to get the fellowship abroad?;I would write a profile saying: I was born in Szeged. I took my school-leaving exams at Kossuth Zsuzsanna secondary school in Szeged. Meanwhile, I took an evening course in English. I can speak two languages, English and German, fluently. My special field of interest is Webdesign and for the last few years, I have been working for a software development firm. I have a good working knowledge of Photoshop, Adobe Illustrator, Excel, and Word programs. I am quite hard-working and I have a cheerful temperament. I think I can cope with new situations well.;Family
What schools did you attend as a child?;I started nursery school at the age of four, then I went to  elementary school. Later, I was admitted to a high school, where I successfully graduated. Now I want to applying for an university. That's why I'm standing here now.;Family
Did you do well at school.;I wasn't the best student in elementary school, but when I started high school, I became a very good student. And now I'm going to university. So I am staisfied with myself.;Family
Where did you go continue your studies after leaving primary school?;I apply for admission to one of the high school in the country where I spent four years. In the third year I would liked to opted for additional lessons in English and History but that was not possible. I graduated and skipped a year to think about how to continue. I spent the next year studying and decided to go with my studies and apply for university.;Family
Did you enjoy being a student? Why? Why not?;I didn't like going to primary and secondary school. I never had many friends. The class community was not cohesive, the students hurt and bullied each other. However, I still like to study, so I hope that the university will be different. I had a good experience. Most of the teachers always tried to help in their own way. On the other hand, being a student comes with privileges. Thanks to the student card, you can get a discount on many things.;Family
What is the teacher student relationship like in your school?;The teacher-student relationship in my school was never perfect, but most of the students respected their teacher and the teacher treated the students properly. The teacher are all very competent and impart a great deal of knowledge to us.;Family
Which are your favorite subjects?;My favorite subjects were mathematics and history. These were the less popular subjects in my class.;Family
Which are the ones that you don't like?;Physics is not my cup of tea, it is my weak point. I did't even like to think of it. Although I tried to do my best in this subject, my efforts were not always crowned with success.;Family
What are some of the out-of-school activities that you are involved in?;Besides studying, I didn't have time for anything else but, to tell you the truth, there weren't too many opportunities at school. I would have liked to have played basketball, volleyball, or attended an acting class, but these were not possible.;Family
What are your plans for the future?;I don't know yet what I would like to do when I leave school. One thing is sure, I would like to go on to higher education. I am aware of having to study hard and that it won't be easy but it will work.;Family
Do you get up as soon as you wake up?;No, never. In fact, I need some time till I regain my senses and am wide awake again. This usually happens after I have washed my face.;Family
Do you ever oversleep?;Yes, unfortunately it has happened to me sometimes. Being the heavy sleeper, I can hardly hear the alarm clock ring.;Family
What do you do first when you get up?;I draw the curtains to let light into my room. Then I go to the bathroom to wash my face in cold running water that I will be wide awake.;Family
What do you do before breakfast?;I go to the bathroom and wash my face, hands and dry myself with a towel. Then I clean my teeth, comb my hair, and begin to get dress. If necessary, I apply make-up to cover up my acnes and accentuate my eyes and my mouth.;Family
